"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Opened","Closed","Status"
"GIGGLEUSDT","Cross","Long","202.01852408","213.31664300","481.53000000","481.53000000","5440.38329913","2025-10-25 03:04:31.136","2025-10-26 11:15:43.331","Closed"
"币安人生USDT","Cross","Short","0.22628192","0.23237400","203489.00000000","203489.00000000","-1239.57648930","2025-10-24 18:00:08.141","2025-10-25 03:03:38.614","Closed"
"PROVEUSDT","Cross","Long","0.99917952","0.95359600","65761.20000000","65761.20000000","-2997.61279896","2025-10-24 17:38:00.694","2025-10-25 03:03:38.614","Closed"
"4USDT","Cross","Short","0.10563000","0.10113400","295456.00000000","295456.00000000","1328.55704920","2025-10-24 15:07:36.180","2025-10-24 16:23:07.204","Closed"
"币安人生USDT","Cross","Short","0.22047100","0.22217000","282919.00000000","282919.00000000","-480.55300994","2025-10-24 15:07:21.490","2025-10-24 17:43:47.432","Closed"
"XPINUSDT","Cross","Long","0.00812200","0.00794100","3816887.00000000","3816887.00000000","-689.52008285","2025-10-24 05:02:52.137","2025-10-24 11:07:39.942","Closed"
"BTCUSDT","Cross","Long","110632.90000000","110433.50000000","3.19300000","3.19300000","-636.68420000","2025-10-24 02:45:10.799","2025-10-24 14:07:24.535","Closed"
"4USDT","Cross","Short","0.09888300","0.10723900","315277.00000000","315277.00000000","-2634.27767988","2025-10-23 16:20:49.694","2025-10-23 17:58:00.464","Closed"
"币安人生USDT","Cross","Short","0.26351400","0.24883200","236764.00000000","236764.00000000","3476.21406738","2025-10-23 12:26:34.483","2025-10-23 17:35:24.588","Closed"
"APRUSDT","Cross","Short","0.34082000","0.35910600","73111.00000000","73111.00000000","-1336.92332000","2025-10-23 10:32:16.459","2025-10-23 10:58:39.102","Closed"
"ETHUSDT","Cross","Long","3868.92398100","3825.52000000","78.35600000","78.35600000","-3400.96230972","2025-10-23 06:15:51.540","2025-10-23 14:11:53.679","Closed"
"币安人生USDT","Cross","Short","0.28517819","0.28325100","220000.00000000","220000.00000000","423.95272933","2025-10-22 16:34:45.948","2025-10-23 06:22:51.085","Closed"
"币安人生USDT","Cross","Short","0.29250700","0.29090000","140808.00000000","140808.00000000","226.30602984","2025-10-22 12:37:40.919","2025-10-22 16:14:12.915","Closed"
"COAIUSDT","Cross","Long","10.02400000","16.19900000","3491.00000000","3491.00000000","21556.92500000","2025-10-22 08:50:30.962","2025-10-23 10:12:00.552","Closed"
"ZEREBROUSDT","Cross","Long","0.03143885","0.03476200","954198.00000000","954198.00000000","3170.61298954","2025-10-22 08:33:05.329","2025-10-25 03:03:38.614","Closed"
"币安人生USDT","Cross","Short","0.31045000","0.32362100","200876.00000000","200876.00000000","-2645.87378908","2025-10-22 06:12:52.303","2025-10-22 08:22:14.240","Closed"
"PROVEUSDT","Cross","Long","0.86197907","0.79460000","62793.50000000","62793.50000000","-4230.96771997","2025-10-21 18:21:03.061","2025-10-22 06:12:20.058","Closed"
"ZEREBROUSDT","Cross","Long","0.04215000","0.03113400","711406.00000000","711406.00000000","-7837.13949957","2025-10-21 15:02:13.588","2025-10-21 22:34:04.074","Closed"
"币安人生USDT","Cross","Long","0.31803100","0.30375000","207552.00000000","207552.00000000","-2963.99613992","2025-10-21 14:54:21.247","2025-10-21 18:13:01.491","Closed"
"ETHUSDT","Cross","Long","3936.00000000","4016.05104300","101.89700000","101.89700000","8156.96111000","2025-10-21 14:19:26.361","2025-10-21 15:00:41.519","Closed"
"币安人生USDT","Cross","Short","0.33300500","0.29255700","93416.00000000","93416.00000000","3778.52169953","2025-10-21 06:13:16.415","2025-10-21 08:50:10.731","Closed"
"FORMUSDT","Cross","Long","0.85207200","0.82629500","16421.70000000","16421.70000000","-423.30201942","2025-10-20 15:49:06.917","2025-10-20 17:17:22.423","Closed"
"4USDT","Cross","Short","0.13833811","0.11380000","429352.00000000","429352.00000000","10535.58115866","2025-10-20 15:38:30.920","2025-10-21 14:18:35.825","Closed"
"币安人生USDT","Cross","Long","0.39897700","0.41995800","234897.00000000","234897.00000000","4928.39225726","2025-10-20 15:10:55.142","2025-10-20 15:31:55.179","Closed"
"币安人生USDT","Cross","Short","0.36068400","0.38290900","253518.00000000","253518.00000000","-5634.43955914","2025-10-20 12:25:38.234","2025-10-20 15:05:25.606","Closed"
"币安人生USDT","Cross","Long","0.29352100","0.26882800","275616.00000000","275616.00000000","-6806.00657815","2025-10-20 11:13:53.989","2025-10-20 11:24:46.589","Closed"
"4USDT","Cross","Short","0.13716900","0.14686800","510981.00000000","510981.00000000","-4955.65176819","2025-10-20 09:12:30.962","2025-10-20 12:19:46.419","Closed"
"KGENUSDT","Cross","Long","0.62446000","0.57334000","8.00000000","8.00000000","-0.40896000","2025-10-18 03:40:09.864","2025-10-18 04:19:52.603","Closed"
"ZEREBROUSDT","Cross","Long","0.04111443","0.03429600","98211.00000000","98211.00000000","-669.66811989","2025-10-17 16:01:30.518","2025-10-18 17:55:31.496","Closed"
"KGENUSDT","Cross","Long","0.53662000","0.46750000","10.00000000","10.00000000","-0.69120000","2025-10-16 12:28:32.620","2025-10-16 13:05:14.731","Closed"
"KGENUSDT","Cross","Long","0.52303000","0.53057000","10.00000000","10.00000000","0.07540000","2025-10-16 12:28:01.321","2025-10-16 12:28:13.812","Closed"
"BASUSDT","Cross","Long","0.10240700","0.09627300","97.00000000","97.00000000","-0.59498600","2025-10-15 00:23:00.055","2025-10-15 01:09:21.759","Closed"
"ZEREBROUSDT","Cross","Long","0.04167517","0.03585100","244055.00000000","244055.00000000","-1421.48588955","2025-10-14 16:52:28.331","2025-10-16 02:41:28.487","Closed"
"TAOUSDT","Cross","Long","444.77635800","416.86000000","2.76500000","2.76500000","-77.18872999","2025-10-14 11:19:32.237","2025-10-14 12:51:09.506","Closed"
"HYPEUSDT","Cross","Long","41.03200000","39.20800000","6.18000000","6.18000000","-11.27232000","2025-10-14 04:07:44.578","2025-10-14 06:34:41.602","Closed"
"ZEREBROUSDT","Cross","Long","0.04772452","0.03619100","436091.00000000","436091.00000000","-5029.83048960","2025-10-13 21:18:13.569","2025-10-14 03:40:46.064","Closed"
