symbol,side,tms,is_new,rule_take,reason,move15m,ok_move,ok_break,ok_vol,break_level,taken,entry_px,exit_px,entry_time,exit_time,exit_reason,pnl_r,risk,stop_px_initial
PENGUUSDT,SHORT,1759247723180,False,False,no_trigger,0.0028117267751367877,False,False,False,,,,,,,,,,
PUMPUSDT,SHORT,1759247708347,False,False,no_trigger,0.005951273944578745,False,False,False,,,,,,,,,,
WIFUSDT,SHORT,1759247660731,False,False,no_trigger,0.005465266791313139,False,False,False,,,,,,,,,,
AVAXUSDT,SHORT,1759247639506,False,False,no_trigger,0.003072355702844471,False,False,False,,,,,,,,,,
SOLUSDT,SHORT,1759247624662,,False,no_15m_bar,,,,,,,,,,,,,,
ASTERUSDT,SHORT,1759245722481,,False,no_15m_bar,,,,,,,,,,,,,,
FFUSDT,SHORT,1759166900358,True,False,no_trigger,-0.008839571186759314,False,False,False,,,,,,,,,,
SUIUSDT,SHORT,1759165384263,False,False,no_trigger,0.002698310489682004,False,False,False,,,,,,,,,,
ADAUSDT,SHORT,1759165377565,False,False,no_trigger,0.0003759398496240187,False,False,False,,,,,,,,,,
STBLUSDT,LONG,1759163303080,False,False,no_trigger,-0.06317418117631679,False,False,False,,,,,,,,,,
FFUSDT,SHORT,1759156118547,True,False,no_trigger,-0.17539754656974105,True,False,False,,,,,,,,,,
XANUSDT,LONG,1759155420131,True,False,no_trigger,-0.009546014428998792,False,False,False,,,,,,,,,,
XANUSDT,LONG,1759153190517,True,False,no_trigger,-0.032685930838465264,False,False,False,,,,,,,,,,
ASTERUSDT,SHORT,1759143647846,,False,no_15m_bar,,,,,,,,,,,,,,
XPLUSDT,LONG,1759139974930,,False,no_15m_bar,,,,,,,,,,,,,,
XPLUSDT,LONG,1759127893926,,False,no_15m_bar,,,,,,,,,,,,,,
ASTERUSDT,SHORT,1759123586492,,False,no_15m_bar,,,,,,,,,,,,,,
XPLUSDT,LONG,1759122182477,,False,no_15m_bar,,,,,,,,,,,,,,
HYPEUSDT,LONG,1759100488574,,False,no_15m_bar,,,,,,,,,,,,,,
PUMPUSDT,LONG,1759078749022,False,False,no_trigger,0.052405015908665684,False,True,True,,,,,,,,,,
ASTERUSDT,SHORT,1759033102517,,False,no_15m_bar,,,,,,,,,,,,,,
ETHUSDT,SHORT,1758986362908,,False,no_15m_bar,,,,,,,,,,,,,,
MIRAUSDT,SHORT,1758986070531,True,False,no_trigger,-0.013979360316182476,False,False,False,,,,,,,,,,
FARTCOINUSDT,SHORT,1758985334850,False,False,no_trigger,-0.005568680391495055,False,False,False,,,,,,,,,,
VIRTUALUSDT,SHORT,1758985293471,False,False,no_trigger,-0.0031874818893075246,False,False,False,,,,,,,,,,
ZORAUSDT,SHORT,1758985280635,False,False,no_trigger,-0.004531195538515219,False,True,False,,,,,,,,,,
AVNTUSDT,SHORT,1758985270975,False,False,no_trigger,-0.017759736141063062,False,False,False,,,,,,,,,,
WLDUSDT,SHORT,1758985248184,False,False,no_trigger,-0.0003129890453833771,False,False,False,,,,,,,,,,
MYXUSDT,LONG,1758981617903,False,False,no_trigger,0.042030645854217494,False,True,False,,,,,,,,,,
